transaction_id,amount,transaction_hour,merchant_category,foreign_transaction,location_mismatch,device_trust_score,velocity_last_24h,cardholder_age,is_fraud,customer_id,transaction_date,transaction_timestamp,merchant_id,device_id,account_balance,amount_zscore_client,hours_since_last_txn,is_new_merchant_for_client,is_new_device_for_client,is_unusual_hour_for_client,amount_pct_of_balance,risky_combo_flag
6546,16.21,0,Electronics,0,0,39,6,67,1,CUST_00116,2026-01-01,2026-01-01 00:00:00,Electronics_M33,DEV_NEW_18317,4184.65,-0.8841808037602016,-1.0,1,1,1,0.0038736811919754346,0
4679,204.63,0,Clothing,0,1,51,2,51,0,CUST_00523,2026-01-01,2026-01-01 00:00:00,Clothing_M2,DEV_762,3321.82,-0.2202077208879643,-1.0,1,1,0,0.06160177252229199,0
6927,92.86,0,Electronics,0,0,92,2,38,0,CUST_00577,2026-01-01,2026-01-01 00:00:00,Electronics_M14,DEV_12,18820.51,1.0233661383187989,-1.0,1,1,0,0.0049339789410595145,0
4200,172.8,0,Food,0,1,51,3,56,0,CUST_00576,2026-01-01,2026-01-01 00:00:00,Food_M21,DEV_498,7715.69,-0.1066636168276579,-1.0,1,1,1,0.02239592311251489,0
2579,79.72,0,Food,0,0,38,0,44,0,CUST_00356,2026-01-01,2026-01-01 00:00:00,Food_M13,DEV_232,3325.92,-0.5587484804478033,-1.0,1,1,1,0.02396930774041468,0
5709,192.38,2,Travel,0,0,39,2,23,0,CUST_00524,2026-01-01,2026-01-01 02:00:00,Travel_M23,DEV_320,5576.4,0.4034672866916421,-1.0,1,1,1,0.03449895990244602,0
4113,12.95,2,Food,0,1,79,1,59,0,CUST_00490,2026-01-01,2026-01-01 02:00:00,Food_M25,DEV_279,4363.76,-0.885469453695748,-1.0,1,1,0,0.0029676242506462315,0
111,61.59,3,Travel,0,0,32,0,59,0,CUST_00065,2026-01-01,2026-01-01 03:00:00,Travel_M34,DEV_543,974.1,-0.4958589557350387,-1.0,1,1,0,0.06322759470280259,0
7389,60.7,3,Clothing,0,0,83,3,66,0,CUST_00183,2026-01-01,2026-01-01 03:00:00,Clothing_M30,DEV_741,21666.33,-0.7001934773945321,-1.0,1,1,1,0.0028015819938125193,0
6799,18.57,4,Grocery,0,0,26,2,20,0,CUST_00063,2026-01-01,2026-01-01 04:00:00,Grocery_M5,DEV_313,3915.84,-0.9108918253314623,-1.0,1,1,0,0.004742277518999755,0
7207,52.45,4,Travel,0,0,96,3,32,0,CUST_00412,2026-01-01,2026-01-01 04:00:00,Travel_M30,DEV_718,2547.27,-0.6863966873789589,-1.0,1,1,1,0.0205906715817326,0
4921,546.81,5,Grocery,1,1,53,2,45,0,CUST_00513,2026-01-01,2026-01-01 05:00:00,Grocery_M7,DEV_687,1277.3,1.9925709065006987,-1.0,1,1,1,0.4280983324199483,1
5582,80.98,5,Food,0,1,50,3,23,0,CUST_00275,2026-01-01,2026-01-01 05:00:00,Food_M23,DEV_330,2693.43,-0.5380077032752398,-1.0,1,1,1,0.030065752590562964,0
2380,288.25,6,Clothing,0,0,27,0,28,0,CUST_00354,2026-01-01,2026-01-01 06:00:00,Clothing_M30,DEV_478,21721.34,0.8129458928365402,-1.0,1,1,0,0.01327035993175375,0
6008,13.62,6,Food,0,0,37,2,62,0,CUST_00182,2026-01-01,2026-01-01 06:00:00,Food_M32,DEV_221,16473.7,-0.8179127951460775,-1.0,1,1,1,0.0008267723705057151,0
5563,55.06,6,Food,0,0,46,2,24,0,CUST_00426,2026-01-01,2026-01-01 06:00:00,Food_M15,DEV_75,6120.17,-0.5951363447298386,-1.0,1,1,1,0.008996482123862573,0
1429,183.46,7,Grocery,0,0,73,1,53,0,CUST_00399,2026-01-01,2026-01-01 07:00:00,Grocery_M39,DEV_600,2013.81,-0.20505749567183768,-1.0,1,1,0,0.09110094795437505,0
9130,541.38,7,Electronics,0,0,60,4,31,0,CUST_00410,2026-01-01,2026-01-01 07:00:00,Electronics_M27,DEV_466,8833.97,1.9821887552335382,-1.0,1,1,1,0.061283884821886424,0
8369,173.38,7,Electronics,0,0,78,1,61,0,CUST_00406,2026-01-01,2026-01-01 07:00:00,Electronics_M36,DEV_525,13974.22,-0.39752201058477055,-1.0,1,1,0,0.012407132562676127,0
6424,54.75,7,Clothing,0,0,63,0,43,0,CUST_00444,2026-01-01,2026-01-01 07:00:00,Clothing_M20,DEV_609,2636.33,-0.7793912733673393,-1.0,1,1,1,0.02076750634404646,0
7625,129.67,7,Travel,0,0,67,4,46,0,CUST_00418,2026-01-01,2026-01-01 07:00:00,Travel_M33,DEV_667,1072.52,-0.31910090403412794,-1.0,1,1,0,0.12090217431842762,0
3393,394.26,7,Electronics,0,0,91,1,52,0,CUST_00338,2026-01-01,2026-01-01 07:00:00,Electronics_M7,DEV_776,4947.99,1.3419529054268187,-1.0,1,1,1,0.07968084009870675,0
3952,324.27,8,Electronics,0,0,55,5,49,0,CUST_00418,2026-01-01,2026-01-01 08:00:00,Electronics_M11,DEV_37,1072.52,0.7322291591051626,1.0,1,1,1,0.3023440122328721,0
4853,268.69,8,Electronics,0,0,55,1,48,0,CUST_00486,2026-01-01,2026-01-01 08:00:00,Electronics_M30,DEV_252,5230.01,0.0,-1.0,1,1,0,0.05137466276355112,0
8459,565.61,8,Clothing,1,0,94,1,25,0,CUST_00418,2026-01-01,2026-01-01 08:00:00,Clothing_M4,DEV_423,1072.52,2.0360729280570458,0.0,1,1,1,0.527365457054414,1
9113,139.79,9,Travel,0,0,83,1,29,0,CUST_00155,2026-01-01,2026-01-01 09:00:00,Travel_M4,DEV_205,6514.27,-0.20166219705440885,-1.0,1,1,1,0.021459042993305463,0
32,33.65,9,Grocery,0,0,51,2,65,0,CUST_00521,2026-01-01,2026-01-01 09:00:00,Grocery_M0,DEV_777,3057.03,-0.8292068833549773,-1.0,1,1,0,0.011007415694317686,0
6598,52.26,9,Food,1,0,64,2,41,0,CUST_00473,2026-01-01,2026-01-01 09:00:00,Food_M29,DEV_337,4804.86,-0.7813312515544727,-1.0,1,1,0,0.010876487556349197,0
408,1.96,10,Travel,0,0,75,2,68,0,CUST_00452,2026-01-01,2026-01-01 10:00:00,Travel_M36,DEV_782,5626.77,-0.9592722778346646,-1.0,1,1,0,0.000348334835083005,0
8252,691.2,11,Food,0,0,65,1,25,0,CUST_00324,2026-01-01,2026-01-01 11:00:00,Food_M4,DEV_245,1663.12,0.9611027074948947,-1.0,1,1,0,0.4156044061763433,0
5053,36.99,11,Travel,0,0,60,3,28,0,CUST_00168,2026-01-01,2026-01-01 11:00:00,Travel_M20,DEV_265,2318.37,-0.7089359253062687,-1.0,1,1,0,0.01595517540340843,0
3975,57.02,11,Grocery,0,0,76,2,65,0,CUST_00410,2026-01-01,2026-01-01 11:00:00,Grocery_M6,DEV_731,8833.97,-0.8281071019173148,4.0,1,1,1,0.0064546291191842405,0
6693,203.44,11,Grocery,0,1,66,3,18,0,CUST_00059,2026-01-01,2026-01-01 11:00:00,Grocery_M34,DEV_340,2370.51,0.7071067811865474,-1.0,1,1,0,0.08582119459525586,0
1829,288.55,12,Clothing,0,1,46,2,52,0,CUST_00136,2026-01-01,2026-01-01 12:00:00,Clothing_M1,DEV_222,4572.06,0.6722454525750636,-1.0,1,1,1,0.06311159521091149,0
2142,140.09,12,Food,0,0,61,2,35,0,CUST_00487,2026-01-01,2026-01-01 12:00:00,Food_M1,DEV_614,1142.64,-0.1004474579867315,-1.0,1,1,0,0.12260204438843379,0
110,14.42,13,Clothing,1,0,94,0,61,0,CUST_00589,2026-01-01,2026-01-01 13:00:00,Clothing_M15,DEV_619,2392.56,-0.904957994591706,-1.0,1,1,0,0.006027017086300866,0
5863,1.35,15,Grocery,0,0,68,2,27,0,CUST_00478,2026-01-01,2026-01-01 15:00:00,Grocery_M7,DEV_311,2390.84,-1.0043948618868757,-1.0,1,1,0,0.0005646551002994764,0
8336,111.73,16,Electronics,0,0,25,1,38,0,CUST_00107,2026-01-01,2026-01-01 16:00:00,Electronics_M20,DEV_655,4644.67,-1.149052056316685,-1.0,1,1,0,0.02405553031754678,0
4133,195.16,16,Travel,0,0,28,0,69,0,CUST_00296,2026-01-01,2026-01-01 16:00:00,Travel_M6,DEV_453,7837.15,0.30160533605424755,-1.0,1,1,1,0.02490190949516087,0
4296,63.26,16,Electronics,0,0,29,1,52,0,CUST_00140,2026-01-01,2026-01-01 16:00:00,Electronics_M4,DEV_263,1868.32,-0.6974111289615929,-1.0,1,1,0,0.033859296052068166,0
8061,179.83,17,Travel,0,0,78,1,54,0,CUST_00086,2026-01-01,2026-01-01 17:00:00,Travel_M35,DEV_323,24804.33,0.1781734673579573,-1.0,1,1,0,0.007249943860608208,0
9821,182.09,17,Grocery,0,0,97,2,63,0,CUST_00195,2026-01-01,2026-01-01 17:00:00,Grocery_M15,DEV_464,7764.81,0.1903275378103718,-1.0,1,1,1,0.023450670396313624,0
9320,232.63,17,Travel,0,0,29,1,40,0,CUST_00136,2026-01-01,2026-01-01 17:00:00,Travel_M8,DEV_446,4572.06,0.3380882274423991,5.0,1,1,0,0.05088078459162827,0
7012,295.09,17,Travel,0,0,70,4,43,0,CUST_00046,2026-01-01,2026-01-01 17:00:00,Travel_M36,DEV_675,1677.11,0.2472599613843287,-1.0,1,1,0,0.17595148797634025,0
1417,7.22,17,Clothing,0,0,73,0,23,0,CUST_00009,2026-01-01,2026-01-01 17:00:00,Clothing_M12,DEV_298,8399.4,-0.8583666535380174,-1.0,1,1,0,0.0008595852084672715,0
3342,155.64,18,Grocery,0,0,74,3,58,0,CUST_00378,2026-01-01,2026-01-01 18:00:00,Grocery_M39,DEV_200,31321.14,-0.01293020075726852,-1.0,1,1,1,0.004969167788911898,0
737,89.7,18,Clothing,0,0,85,0,55,0,CUST_00484,2026-01-01,2026-01-01 18:00:00,Clothing_M0,DEV_696,1746.04,-0.5745846077294475,-1.0,1,1,0,0.05137339350759433,0
8863,355.2,19,Food,0,0,35,2,40,0,CUST_00354,2026-01-01,2026-01-01 19:00:00,Food_M31,DEV_594,21721.34,1.272371543631284,13.0,1,1,0,0.016352582299250414,0
3792,12.53,20,Grocery,0,0,70,1,65,0,CUST_00378,2026-01-01,2026-01-01 20:00:00,Grocery_M34,DEV_682,31321.14,-0.7012459691134678,2.0,1,1,1,0.0004000492957791447,0
9883,81.87,21,Clothing,0,0,31,5,62,0,CUST_00232,2026-01-01,2026-01-01 21:00:00,Clothing_M21,DEV_373,7349.16,-0.6102709506420438,-1.0,1,1,0,0.01114004865862221,0
5620,38.48,21,Food,0,0,36,4,58,0,CUST_00150,2026-01-01,2026-01-01 21:00:00,Food_M28,DEV_717,10996.18,-0.7398306472015437,-1.0,1,1,0,0.0034993970633438154,0
9282,515.37,21,Grocery,0,0,60,2,42,0,CUST_00499,2026-01-01,2026-01-01 21:00:00,Grocery_M39,DEV_441,8249.88,1.7845810765047048,-1.0,1,1,0,0.06246999956363002,0
5899,547.57,22,Food,0,0,99,1,59,0,CUST_00129,2026-01-01,2026-01-01 22:00:00,Food_M4,DEV_445,12098.51,2.2508986496238492,-1.0,1,1,1,0.04525929225995598,0
3304,69.73,22,Grocery,0,0,71,0,39,0,CUST_00353,2026-01-01,2026-01-01 22:00:00,Grocery_M3,DEV_211,3137.75,-0.5632510617791877,-1.0,1,1,1,0.02222293044378934,0
9131,50.5,23,Food,0,0,70,2,36,0,CUST_00489,2026-01-01,2026-01-01 23:00:00,Food_M25,DEV_40,469.35,-0.9364949320890075,-1.0,1,1,0,0.10759561095131565,0
688,59.13,23,Travel,0,0,64,3,38,0,CUST_00364,2026-01-01,2026-01-01 23:00:00,Travel_M26,DEV_52,2451.48,-0.35162193023790483,-1.0,1,1,1,0.02412012335405551,0
675,95.1,23,Electronics,0,1,52,1,36,0,CUST_00305,2026-01-01,2026-01-01 23:00:00,Electronics_M12,DEV_394,17634.36,-0.7928535072020911,-1.0,1,1,0,0.005392880716963927,0
4143,17.85,0,Clothing,1,0,30,3,40,1,CUST_00275,2026-01-02,2026-01-02 00:00:00,Clothing_M37,DEV_NEW_545351,2693.43,-0.9023944550515292,19.0,1,1,1,0.0066272373887570875,0
